review_text,rating,len_char,len_word,tokens_clean,clean_text
"Consecutively losing 50/50 10 times in a row is not fun. Seems like rates have been tailored to be on the losing end as of recent. Please include systems like ""capturing radiance"" of Genshin. I'm tired of saving for a long time, skipping multiple banners only to lose everytime on the characters I want.",1,303,54,"['consecutively', 'lose', 'time', 'row', 'not', 'fun', 'seem', 'like', 'rate', 'tailor', 'losing', 'end', 'recent', 'please', 'include', 'system', 'like', 'capture', 'radiance', 'genshin', 'tire', 'save', 'long', 'skip', 'multiple', 'banner', 'lose', 'everytime', 'character', 'want']",consecutively lose time row not fun seem like rate tailor losing end recent please include system like capture radiance genshin tire save long skip multiple banner lose everytime character want
It used to be good but now its just extremely underhanded and predatory. The only people who still play are people who are older players because it feels like we've been trapped into it,1,185,34,"['use', 'good', 'extremely', 'underhanded', 'predatory', 'people', 'still', 'people', 'older', 'feel', 'like', 'trapped']",use good extremely underhanded predatory people still people older feel like trapped
"damn it.. chaning my review again from 1 star (as I lost 50/50) to 5 star, as 3.7 was peak cinema 🙌",5,99,22,"['damn', 'chaning', 'review', 'lose', 'peak', 'cinema']",damn chaning review lose peak cinema
Only played up to partway through Penacony and the story is pretty fun. It does fall into the typical of gacha being pushed so the strongest chars are always the new ones. So there will come a time where you can't beat the final 1/2 bosses of grinding/event stages (not story) because you haven't whaled on all the new chars. Biggest issue is updating the game downloads the entire game again before replacing the files and deletin the old. Means you always need 2x the space to be able to update.,3,497,91,"['partway', 'penacony', 'story', 'pretty', 'fun', 'fall', 'typical', 'gacha', 'push', 'strong', 'char', 'always', 'new', 'one', 'come', 'not', 'beat', 'final', 'boss', 'grind', 'event', 'stage', 'not', 'story', 'whale', 'new', 'char', 'big', 'issue', 'update', 'downloads', 'entire', 'replace', 'file', 'deletin', 'old', 'mean', 'always', 'need', 'space', 'able', 'update']",partway penacony story pretty fun fall typical gacha push strong char always new one come not beat final boss grind event stage not story whale new char big issue update downloads entire replace file deletin old mean always need space able update
this game has become bad.,4,25,5,"['become', 'bad']",become bad
"Not free to play friendly game, when every unit needs their signature weapon to function, stopped releassing 4 star character, Stopped giving 4 star weapon as alternative of the limited one, even on their own guide if you don't have the limited weapon, they tell you to use another limited one lol, content extremely restricted on what team you need, if you don't have X team gg you can't clear it. Hoyo will never stopped being greedy while being a billionaire company",1,469,82,"['not', 'free', 'friendly', 'every', 'unit', 'need', 'signature', 'weapon', 'function', 'stop', 'releassing', 'character', 'stop', 'give', 'weapon', 'alternative', 'limit', 'one', 'even', 'guide', 'not', 'limited', 'weapon', 'tell', 'use', 'another', 'limit', 'one', 'lol', 'extremely', 'restrict', 'team', 'need', 'not', 'team', 'gg', 'not', 'clear', 'never', 'stop', 'greedy', 'billionaire', 'company']",not free friendly every unit need signature weapon function stop releassing character stop give weapon alternative limit one even guide not limited weapon tell use another limit one lol extremely restrict team need not team gg not clear never stop greedy billionaire company
"I absolutely adore this game for a multitude of reasons, but I will say that the devs are getting greedy. Older characters have been powecrept so quickly there's no point in bringing them to any new combat content. There is also a huge lack of 4 stars. Parts of character kits are starting to be locked behind constellations when they should be included at E0. Overall I'm deeply concerned that the game I love is going to end up soulless and greedy. Star rail has so much going for it.",3,486,90,"['absolutely', 'adore', 'multitude', 'reason', 'say', 'devs', 'get', 'greedy', 'old', 'character', 'powecrept', 'quickly', 'no', 'point', 'bring', 'new', 'combat', 'also', 'huge', 'lack', 'star', 'part', 'character', 'kit', 'start', 'lock', 'behind', 'constellation', 'include', 'overall', 'deeply', 'concerned', 'love', 'go', 'end', 'soulless', 'greedy', 'much', 'go']",absolutely adore multitude reason say devs get greedy old character powecrept quickly no point bring new combat also huge lack star part character kit start lock behind constellation include overall deeply concerned love go end soulless greedy much go
game dosen't even need 4 stars anymore cuz of hp inflation and powercreep.,1,74,13,"['dosen', 'even', 'need', 'star', 'anymore', 'cuz', 'health', 'inflation', 'powercreep']",dosen even need star anymore cuz health inflation powercreep
"The good: Weird, philosophical storytelling. Good music. Doesn't mind letting its characters be goofy, especially in event stories. Excellent animations. Voice acting is generally good. The bad: The higher tiers of the end-game modes Memory of Chaos and Apocalyse may become inaccessible for free to play and light spenders. More archetypes are being released, so building a specific team may take a long time with the rotating banner. Gear grind gets old. Way more predatory tactics with 3.7 release",2,500,79,"['good', 'weird', 'philosophical', 'storytelling', 'good', 'music', 'not', 'mind', 'let', 'character', 'goofy', 'especially', 'event', 'story', 'excellent', 'animation', 'voice', 'act', 'generally', 'good', 'bad', 'high', 'tier', 'end', 'mode', 'memory', 'chaos', 'apocalyse', 'may', 'become', 'inaccessible', 'free', 'light', 'spender', 'archetypes', 'release', 'building', 'specific', 'team', 'may', 'take', 'long', 'rotating', 'banner', 'gear', 'grind', 'get', 'old', 'way', 'predatory', 'tactic', 'release']",good weird philosophical storytelling good music not mind let character goofy especially event story excellent animation voice act generally good bad high tier end mode memory chaos apocalyse may become inaccessible free light spender archetypes release building specific team may take long rotating banner gear grind get old way predatory tactic release
$300 for a weapon skin that you may see for an hour and multiple characters need their second constillation to be functional story can be very hit or miss lots of times its 8 hrs of sleeping bs and abismal delivery. lore and a condensed version of the story phenomenal delivery absolute shite.,1,293,53,"['weapon', 'skin', 'may', 'see', 'hour', 'multiple', 'character', 'need', 'second', 'constillation', 'functional', 'story', 'hit', 'miss', 'lot', 'time', 'hrs', 'sleep', 'b', 'abismal', 'delivery', 'lore', 'condense', 'version', 'story', 'phenomenal', 'delivery', 'absolute', 'shite']",weapon skin may see hour multiple character need second constillation functional story hit miss lot time hrs sleep b abismal delivery lore condense version story phenomenal delivery absolute shite
dont bother,1,11,2,"['not', 'bother']",not bother
this game is very good and you can f2p. These guys just got too spoiled that they want more than the average rewards that they give,5,131,26,"['good', 'free_to_play', 'guy', 'get', 'spoil', 'want', 'average', 'reward', 'give']",good free_to_play guy get spoil want average reward give
"AMAZING, this game caters to you even if you stop playing for a while, you don't have to grind much and it's super fun. The gameplay is simple to catch onto and the characters designs are on point. VERY f2p friendly!",5,216,41,"['amaze', 'caters', 'even', 'stop', 'not', 'grind', 'much', 'super', 'fun', 'gameplay', 'simple', 'catch', 'onto', 'character', 'design', 'point', 'free_to_play', 'friendly']",amaze caters even stop not grind much super fun gameplay simple catch onto character design point free_to_play friendly
why is this game lowk greedy 🫩,1,30,7,"['lowk', 'greedy']",lowk greedy
"Game has gone super downhill coming from a player since launch. Characters rotating out of the meta faster than the seasons are changing, endgame content enemy health bars are only inflating more and more every patch making my older characters unusable, really bad monetisation and zero new 4 star characters since Moze. Cyrene is almost the last nail in the coffin for me. a character that has to be E2 or is just unplayable. yeah the free stuff is cool but what's the point when it'll just rotate?",1,499,88,"['go', 'super', 'downhill', 'come', 'since', 'launch', 'character', 'rotate', 'meta', 'faster', 'season', 'change', 'endgame', 'enemy', 'health', 'bar', 'inflate', 'every', 'patch', 'make', 'old', 'character', 'unusable', 'really', 'bad', 'monetisation', 'zero', 'new', 'character', 'since', 'moze', 'cyrene', 'almost', 'last', 'nail', 'coffin', 'character', 'unplayable', 'yeah', 'free', 'stuff', 'cool', 'point', 'rotate']",go super downhill come since launch character rotate meta faster season change endgame enemy health bar inflate every patch make old character unusable really bad monetisation zero new character since moze cyrene almost last nail coffin character unplayable yeah free stuff cool point rotate
"As a Fate fan, collab could have been a lot better after hyping it for almost a year.",2,85,18,"['fate', 'fan', 'collab', 'could', 'lot', 'good', 'hype', 'almost', 'year']",fate fan collab could lot good hype almost year
haven't won a 50/50 in the last 10 banners and had to go to pity each time. im done. The developers response of telling me I can read the rules for the warp doesnt change the fact that your rates suck and ive been shafted to the point of not giving you money. You can read about that in your diminishing returns revenue statement.,1,330,64,"['last', 'banner', 'go', 'pity', 'im', 'do', 'developer', 'response', 'tell', 'read', 'rule', 'warp', 'not', 'change', 'fact', 'rate', 'suck', 'ive', 'shaft', 'point', 'not', 'give', 'money', 'read', 'diminish', 'return', 'revenue', 'statement']",last banner go pity im do developer response tell read rule warp not change fact rate suck ive shaft point not give money read diminish return revenue statement
"I'm trying to link my account to a Google account and all its saying is to many requests, but I've been trying for an hour now and it hasn't worked, then it will tell me you been to long on the page try again. It's very frustrating because I come back but stillllllll to many requests",5,284,56,"['try', 'link', 'account', 'google', 'account', 'say', 'many', 'request', 'try', 'hour', 'work', 'tell', 'long', 'page', 'try', 'frustrate', 'come', 'back', 'stillllllll', 'many', 'request']",try link account google account say many request try hour work tell long page try frustrate come back stillllllll many request
my comfort game :),5,18,4,['comfort'],comfort
peak characters peak story,5,26,4,"['peak', 'character', 'peak', 'story']",peak character peak story
hmmm I thought it was an update but I started all over again.. kinda disappointed with what happened,1,100,18,"['hmmm', 'think', 'update', 'start', 'kinda', 'disappoint', 'happen']",hmmm think update start kinda disappoint happen
8 patches for this?,3,19,4,['patch'],patch
delete cyrene from this game,1,28,5,"['delete', 'cyrene']",delete cyrene
new character suks without money,1,32,5,"['new', 'character', 'suks', 'without', 'money']",new character suks without money
powercreep as hell+ totally did cyrene dirty bro 😭,1,50,9,"['powercreep', 'hell', 'totally', 'cyrene', 'dirty', 'bro']",powercreep hell totally cyrene dirty bro
this is one of my favourite games of all time,5,45,10,"['one', 'favourite']",one favourite
"Please fix the lag! I want better app optimization, and a much smoother experience on mobile.",1,93,16,"['please', 'fix', 'lag', 'want', 'good', 'app', 'optimization', 'much', 'smooth', 'experience', 'mobile']",please fix lag want good app optimization much smooth experience mobile
the lore is absolute peak. pls keep making peak lore. also pls fix Cyrene,4,73,14,"['lore', 'absolute', 'peak', 'pls', 'keep', 'make', 'peak', 'lore', 'also', 'pls', 'fix', 'cyrene']",lore absolute peak pls keep make peak lore also pls fix cyrene
"GENSHIN COULD NEVER , THANKS HSR DEVS LOVE Y'ALL 🖤",1,50,10,"['genshin', 'could', 'never', 'thank', 'devs', 'love']",genshin could never thank devs love
"The game is quite good. As a fan of RPGs, I really enjoy it. Even though each characters are not built equal (some stronger than others), with a bit of creativity, it is possible to have fun. the story of Jarilo VI was peak not gonna lie",4,237,47,"['quite', 'good', 'fan', 'rpgs', 'really', 'enjoy', 'even', 'though', 'character', 'not', 'build', 'equal', 'strong', 'others', 'bite', 'creativity', 'possible', 'fun', 'story', 'jarilo', 'vi', 'peak', 'not', 'gon', 'na', 'lie']",quite good fan rpgs really enjoy even though character not build equal strong others bite creativity possible fun story jarilo vi peak not gon na lie
Good RPG game with many cool mechanics but the only problem is the HP INFLATION!!! Please Hoyo don't do this to F2P,3,115,22,"['good', 'rpg', 'many', 'cool', 'mechanic', 'problem', 'health', 'inflation', 'please', 'not', 'free_to_play']",good rpg many cool mechanic problem health inflation please not free_to_play
"this new ""card game"" mode had the most drawn out. painful. handholding tutorial! it made me want to rip my hair and eyes out. they say they make this game for older audiences, why treat us as stupid and incapable as that horrid tutorial did?",2,241,45,"['new', 'card', 'mode', 'drawn', 'painful', 'handholding', 'tutorial', 'make', 'want', 'rip', 'hair', 'eye', 'say', 'make', 'old', 'audience', 'treat', 'u', 'stupid', 'incapable', 'horrid', 'tutorial']",new card mode drawn painful handholding tutorial make want rip hair eye say make old audience treat u stupid incapable horrid tutorial
"Lately, this game has become soulless and quite a chore.",2,56,10,"['lately', 'become', 'soulless', 'quite', 'chore']",lately become soulless quite chore
THANK YOUR HOYOVERSE FOR THE EARLY PITY WIN KEEP DOING THIS AND ILL BE A LOYAL FAN THABK YOU SO MUCH,5,100,21,"['thank', 'early', 'pity', 'win', 'keep', 'ill', 'loyal', 'fan', 'thabk', 'much']",thank early pity win keep ill loyal fan thabk much
"fix cyrene's kit. already messed up with global passives and now you pay gate a pathetic bow texture while showcasing her E6 during her showcase. that's false advertising. this feels like betrayal because I genuinely love hsr, so I'll speak up for the game in order for it to be better.",5,286,51,"['fix', 'cyrene', 'kit', 'already', 'mess', 'global', 'passive', 'pay', 'gate', 'pathetic', 'bow', 'texture', 'showcasing', 'showcase', 'false', 'advertising', 'feel', 'like', 'betrayal', 'genuinely', 'love', 'speak', 'order', 'well']",fix cyrene kit already mess global passive pay gate pathetic bow texture showcasing showcase false advertising feel like betrayal genuinely love speak order well
"I TRY TO PULL CYRENE in 90 PULL TICKET BUT WHAT THE HELL!!!! I GOT BAILU INSTEAD CYRENE!!! (CAN U MAKE PRIORITY THE NEW CHARACTER WHEN WE DRAW A PULL! , DONT PUT OR INCLUDE THE OLD CHARACTER ON DROP PULL OR INSTEAD MAKE THE OLD CHARACTER LOW PERCENT TO GET FROM PULL AND MAKE PRIORITY THE NEW CHARACTER!!!!! CAUSE WE SAVE A LOT OF TIME TO SAVE THAT TICKET AND I JUST WASTE MY TICKET ALL MY TICKET FROM BAILU WHAT THE HELL!!!! KINDLY FIX THE DROP PULL THE WARP EVENT!!!!!!!!!!!!",1,477,92,"['try', 'pull', 'cyrene', 'pull', 'ticket', 'hell', 'get', 'bailu', 'instead', 'cyrene', 'make', 'priority', 'new', 'character', 'draw', 'pull', 'not', 'put', 'include', 'old', 'character', 'drop', 'pull', 'instead', 'make', 'old', 'character', 'low', 'percent', 'get', 'pull', 'make', 'priority', 'new', 'character', 'cause', 'save', 'lot', 'save', 'ticket', 'waste', 'ticket', 'ticket', 'bailu', 'hell', 'kindly', 'fix', 'drop', 'pull', 'warp', 'event']",try pull cyrene pull ticket hell get bailu instead cyrene make priority new character draw pull not put include old character drop pull instead make old character low percent get pull make priority new character cause save lot save ticket waste ticket ticket bailu hell kindly fix drop pull warp event
"HEY YOU! YEAH YOU, THAT RANDOM PERSON WHO LOOKS AT REVIEWS! ARE YOU READY FOR THE ""HONKAI"" IN HONKAI STAR RAIL? WE HAVE THAT IN HERE IN THE LATEST VERSION 3.7 AND NOW YOU CAN MEET THE FLAME CHASERS HERE AND- That's it. We are honkai'ed by shaoji. Go ahead, play it or not, she will wait for you. .... . .-.. .-.. --- --..-- / .-- --- .-. .-.. -..",5,346,71,"['hey', 'yeah', 'random', 'person', 'look', 'review', 'ready', 'late', 'version', 'meet', 'flame', 'chaser', 'ed', 'shaoji', 'go', 'ahead', 'not', 'wait']",hey yeah random person look review ready late version meet flame chaser ed shaoji go ahead not wait
amphoreus ruined my life,5,24,4,"['amphoreus', 'ruin', 'life']",amphoreus ruin life
"Honestly kinda okay game overall. I just wished that some paths like the hunt and abundance gets reworked because everyone is better than almost all of the characters in those paths. Additionally, gimmicks like superbreak and FuA should just be fixed entirely. You cannot just slap in a new character with those gimmicks and just say the whole gimmick is fixed. For example Dot. You didn't fix Dot just by putting out hysilens, it's still the same. Please stop being a greedy company 🙏🙏🙏",4,487,84,"['honestly', 'kinda', 'okay', 'overall', 'wish', 'path', 'like', 'hunt', 'abundance', 'get', 'rework', 'everyone', 'well', 'almost', 'character', 'paths', 'additionally', 'gimmick', 'like', 'superbreak', 'fua', 'fix', 'entirely', 'not', 'slap', 'new', 'character', 'gimmick', 'say', 'whole', 'gimmick', 'fix', 'example', 'dot', 'not', 'fix', 'dot', 'put', 'hysilens', 'still', 'please', 'stop', 'greedy', 'company']",honestly kinda okay overall wish path like hunt abundance get rework everyone well almost character paths additionally gimmick like superbreak fua fix entirely not slap new character gimmick say whole gimmick fix example dot not fix dot put hysilens still please stop greedy company
"Greedy new patch, spending near 300$ for a weapon skin, and buying 300$ (3 copies) worth a character to fix her kit is beyond vile.",1,131,25,"['greedy', 'new', 'patch', 'spending', 'near', 'weapon', 'skin', 'buying', 'copy', 'worth', 'character', 'fix', 'kit', 'beyond', 'vile']",greedy new patch spending near weapon skin buying copy worth character fix kit beyond vile
"Imma 5 star, till ya remove Penacony. never mind, the Skip Button really helps",4,78,14,"['imma', 'till', 'ya', 'remove', 'penacony', 'never', 'mind', 'skip', 'button', 'really', 'help']",imma till ya remove penacony never mind skip button really help
THIS IS SO NICE I REGERET MY OLD REVIEW ILY HSR,5,47,11,"['nice', 'regeret', 'old', 'review', 'ily']",nice regeret old review ily
Characters are being powercrept in just a few patches. HSR is finally showing its greed,1,87,15,"['character', 'powercrept', 'patch', 'finally', 'show', 'greed']",character powercrept patch finally show greed
See you tomorrow...,5,19,3,"['see', 'tomorrow']",see tomorrow
"I like the game. It just takes too much storage, I would have to delete almost everything off my phone for it to work, even my photos and videos. but I still like the game... please change the storage plan...",2,208,40,"['like', 'take', 'much', 'storage', 'would', 'delete', 'almost', 'everything', 'phone', 'work', 'even', 'photo', 'videos', 'still', 'like', 'please', 'change', 'storage', 'plan']",like take much storage would delete almost everything phone work even photo videos still like please change storage plan
"The game itself is good, but powercreep is terrible, and it doesn't respect your time.",3,86,15,"['good', 'powercreep', 'terrible', 'not', 'respect']",good powercreep terrible not respect
Absolutely beautiful story,5,26,3,"['absolutely', 'beautiful', 'story']",absolutely beautiful story
good game good thing I have luck on my side when pulling characters cause the Powercrept is insane here,5,103,19,"['good', 'good', 'thing', 'luck', 'side', 'pull', 'character', 'cause', 'powercrept', 'insane']",good good thing luck side pull character cause powercrept insane
"JELEKKKK, INON GW HOYOOOO 😡😡",1,28,5,"['jelekkkk', 'inon', 'gw', 'hoyoooo']",jelekkkk inon gw hoyoooo
"This game is so bad, don't ever play this game. it only gives depression.",1,73,14,"['bad', 'not', 'ever', 'give', 'depression']",bad not ever give depression
I rlly love this game though I lost my 50/50 while pulling for blade to Fu Xuan like he's literally a standard banner or whatever you call that character,5,153,29,"['rlly', 'love', 'though', 'lose', 'pulling', 'blade', 'fu', 'xuan', 'like', 'literally', 'standard', 'banner', 'whatever', 'call', 'character']",rlly love though lose pulling blade fu xuan like literally standard banner whatever call character
"Not angry, just dissapointed of Mihoyo. Power creep after every major patch, which invalidates nearly all characters from before now they release cyrene, a character basically everyone has been waiting for - who is hyper restricted (support bound to v3 characters), worst character released in v3 and at the end it would be naive to think she will not be power crept as soon v4 hits. To top it off she is designed to require 3 copies + her weapon to properly function... It gets worse every time.",2,496,88,"['not', 'angry', 'dissapointed', 'power', 'creep', 'every', 'major', 'patch', 'invalidates', 'nearly', 'character', 'release', 'cyrene', 'character', 'basically', 'everyone', 'wait', 'hyper', 'restrict', 'support', 'bound', 'character', 'worst', 'character', 'release', 'end', 'would', 'naive', 'think', 'not', 'power', 'creep', 'soon', 'hit', 'top', 'design', 'require', 'copy', 'weapon', 'properly', 'function', 'get', 'bad', 'every']",not angry dissapointed power creep every major patch invalidates nearly character release cyrene character basically everyone wait hyper restrict support bound character worst character release end would naive think not power creep soon hit top design require copy weapon properly function get bad every
bad rate gacha for me,1,21,5,"['bad', 'rate', 'gacha']",bad rate gacha
"It was so good until the amorphous arc was trash, not just that Cyrene cycle ult is trash",1,89,18,"['good', 'amorphous', 'arc', 'trash', 'not', 'cyrene', 'cycle', 'ult', 'trash']",good amorphous arc trash not cyrene cycle ult trash
IT'S SO EMOTIONAL AND I LOVE IT SO MUCH EVEN WHEN I ALWAYS LOSE MY 50/50S I LOVE IT HOYOVERSE!!! PLEASE DON'T STOP AND DON'T QUIT!!! IGNORE THOSE HATE COMMENTS AND WHAT THEY THINK ABOUT CYRENE!!! SHE'S STRONG AND BEAUTIFUL!!! I SUPPORT YOU HOYOVERSE!!!!!❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,5,269,44,"['emotional', 'love', 'much', 'even', 'always', 'lose', 'love', 'please', 'not', 'stop', 'not', 'quit', 'ignore', 'hate', 'comment', 'think', 'cyrene', 'strong', 'beautiful', 'support']",emotional love much even always lose love please not stop not quit ignore hate comment think cyrene strong beautiful support
EARLY PITY FOR CYRENE PLS,5,25,5,"['early', 'pity', 'cyrene', 'pls']",early pity cyrene pls
"This game totally ONLINE GAMBLING, because what?? because you must GAMBLING FOR NEW CHARACTER. why?? because rate is just 0.01%, TOTALLY ONLINE GAMBLING. SUCKS!!!",1,162,24,"['totally', 'online', 'gamble', 'must', 'gamble', 'new', 'character', 'rate', 'totally', 'online', 'gamble', 'suck']",totally online gamble must gamble new character rate totally online gamble suck
"Fix your rates 50/50 is a deceptive gacha system EDIT: minus one star, powercreep and endgame shiling worsens, not even Fate collab will save HSR from its steadily worsening bad rep. EDIT: Down to last star. 300$ bow skin? Marriage theme ults? Isn't Cyrene a pivotal part of Phainon's story at first? What happened, why waifu shilling now lmao!?",1,345,59,"['fix', 'rate', 'deceptive', 'gacha', 'system', 'edit', 'minus', 'one', 'powercreep', 'endgame', 'shiling', 'worsens', 'not', 'even', 'fate', 'collab', 'save', 'steadily', 'worsen', 'bad', 'rep', 'edit', 'last', 'bow', 'skin', 'marriage', 'theme', 'ults', 'not', 'cyrene', 'pivotal', 'part', 'phainon', 'story', 'first', 'happen', 'waifu', 'shilling', 'lmao']",fix rate deceptive gacha system edit minus one powercreep endgame shiling worsens not even fate collab save steadily worsen bad rep edit last bow skin marriage theme ults not cyrene pivotal part phainon story first happen waifu shilling lmao
"pretty good game. Amazing graphics, great character designs, beautiful plot, and what not.",5,90,13,"['pretty', 'good', 'amazing', 'graphic', 'great', 'character', 'design', 'beautiful', 'plot', 'not']",pretty good amazing graphic great character design beautiful plot not
"It happened again, i couldn't log in with my Facebook account 😓",4,63,12,"['happen', 'log', 'facebook', 'account']",happen log facebook account
insane power creep and greedy company,1,37,6,"['insane', 'power', 'creep', 'greedy', 'company']",insane power creep greedy company
I love the style of the characters But if the game have Co op mode it would be more fun and also there should be more events so that we can't get bored,1,151,33,"['love', 'style', 'character', 'co', 'op', 'mode', 'would', 'fun', 'also', 'event', 'not', 'get', 'bore']",love style character co op mode would fun also event not get bore
"It used to run very fine while i was playing on my phone with low graphics, but now that i'm playing on my tablet and set it to high graphics surprisingly the surroundings won't load for some reason... specifically the floor, and even if i change it to low or any type of graphics it would still be the same, even though my wifi ping isn't red, and it's always green.",3,367,71,"['use', 'run', 'fine', 'phone', 'low', 'graphic', 'tablet', 'set', 'high', 'graphic', 'surprisingly', 'surroundings', 'not', 'load', 'reason', 'specifically', 'floor', 'even', 'change', 'low', 'type', 'graphic', 'would', 'still', 'even', 'though', 'wifi', 'ping', 'not', 'red', 'always', 'green']",use run fine phone low graphic tablet set high graphic surprisingly surroundings not load reason specifically floor even change low type graphic would still even though wifi ping not red always green
"I've been with HSR ever since the first launch, but right now i've never been disappointed in the entire game, you're just following HI3 with all these tragic stories, especially Amphoreus, i thought HSR was supposed to be like an alternate universe but no, you decided to do it all over again, so disappointing. If you plan to do this over and over again, i know i'm not someone important but i'll quit this game.",1,414,75,"['ever', 'since', 'first', 'launch', 'right', 'never', 'disappointed', 'entire', 'follow', 'hi', 'tragic', 'story', 'especially', 'amphoreus', 'thought', 'suppose', 'like', 'alternate', 'universe', 'no', 'decide', 'disappointing', 'plan', 'know', 'not', 'someone', 'important', 'quit']",ever since first launch right never disappointed entire follow hi tragic story especially amphoreus thought suppose like alternate universe no decide disappointing plan know not someone important quit
why is the story the same as Honkai impact 3 :v,1,47,11,"['story', 'impact']",story impact
why is my game stuck in verifying resources I can't login,2,57,11,"['stuck', 'verify', 'resource', 'not', 'login']",stuck verify resource not login
"first Wuwa was stealing from. you, now you are stealing from them? Hoyo can you please keep your bad fan service in Zzz and keep Genshin and honkai the way they are?",1,165,32,"['first', 'wuwa', 'steal', 'steal', 'please', 'keep', 'bad', 'fan', 'service', 'zzz', 'keep', 'genshin', 'way']",first wuwa steal steal please keep bad fan service zzz keep genshin way
"Came back for Cyrene update, events are boring, not excited to do the new main quest and new challenge. I regret coming back",1,124,23,"['come', 'back', 'cyrene', 'update', 'event', 'bore', 'not', 'excite', 'new', 'main', 'quest', 'new', 'challenge', 'regret', 'come', 'back']",come back cyrene update event bore not excite new main quest new challenge regret come back
"yeah i always knew u were trash bruh, but i cant just prove it before.",1,70,15,"['yeah', 'always', 'know', 'trash', 'bruh', 'not', 'prove']",yeah always know trash bruh not prove
absolutely cinema,5,17,2,"['absolutely', 'cinema']",absolutely cinema
Been playing since release. There's nothing not to love about hsr ❤,5,67,12,"['since', 'release', 'nothing', 'not', 'love']",since release nothing not love
I ❤ this game,4,13,4,[],
